order_date,product,category,quantity,total_sales,unit_price,channel,payment_mode,event_type,store,city
2026-04-02,Papad,Sides,1,31.5,30,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Chicken Biryani,Biryani,1,218.4,260,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Sweet Lassi,Beverages,2,168.0,80,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Papad,Sides,3,94.5,30,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Seekh Kebab,Starters,1,294.0,280,Register,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Butter Naan,Breads,1,47.25,45,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Garlic Naan,Breads,3,173.25,55,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Butter Naan,Breads,1,47.25,45,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Dal Makhani,Main Course,1,231.0,220,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Sweet Lassi,Beverages,1,84.0,80,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Masala Chai,Beverages,3,126.0,40,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Tandoori Roti,Breads,2,63.0,30,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Coke,Beverages,1,63.0,60,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Butter Chicken,Main Course,3,1008.0,320,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Mutton Biryani,Biryani,1,357.0,340,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Paneer Butter Masala,Main Course,1,294.0,280,Register,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Tandoori Roti,Breads,2,63.0,30,Register,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Veg Biryani,Biryani,1,220.5,210,Register,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Samosa (2pc),Starters,1,63.0,60,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Chicken Biryani,Biryani,1,273.0,260,Register,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Paneer Tikka,Starters,-1,-218.4,260,Zomato,UPI,Refund,Spice Route Kitchen,Kolkata
2026-04-02,Butter Naan,Breads,1,47.25,45,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Chicken 65,Starters,-1,-201.6,240,Swiggy,UPI,Refund,Spice Route Kitchen,Kolkata
2026-04-02,Samosa (2pc),Starters,2,126.0,60,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Veg Biryani,Biryani,1,198.45,210,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Butter Chicken,Main Course,2,672.0,320,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Paneer Butter Masala,Main Course,2,588.0,280,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Chicken Biryani,Biryani,1,273.0,260,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Mango Lassi,Beverages,-2,-189.0,90,Swiggy,UPI,Refund,Spice Route Kitchen,Kolkata
2026-04-02,Tandoori Roti,Breads,1,28.35,30,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Paneer Tikka,Starters,2,546.0,260,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Sweet Lassi,Beverages,1,84.0,80,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Masala Chai,Beverages,1,42.0,40,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Chicken Biryani,Biryani,2,546.0,260,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Samosa (2pc),Starters,1,63.0,60,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Gulab Jamun (2pc),Desserts,1,66.15,90,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Butter Naan,Breads,3,113.4,45,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Paneer Butter Masala,Main Course,2,588.0,280,Register,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Chicken Biryani,Biryani,1,273.0,260,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Butter Naan,Breads,3,141.75,45,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Mutton Biryani,Biryani,1,357.0,340,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Paneer Tikka,Starters,1,191.1,260,Register,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Samosa (2pc),Starters,3,189.0,60,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Butter Chicken,Main Course,3,1008.0,320,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Garlic Naan,Breads,1,57.75,55,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Sweet Lassi,Beverages,1,84.0,80,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Samosa (2pc),Starters,1,63.0,60,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Tandoori Roti,Breads,1,25.2,30,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Tandoori Roti,Breads,1,31.5,30,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Papad,Sides,1,31.5,30,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Seekh Kebab,Starters,-1,-294.0,280,Zomato,UPI,Refund,Spice Route Kitchen,Kolkata
2026-04-02,Garlic Naan,Breads,3,121.28,55,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Sweet Lassi,Beverages,2,151.2,80,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Dal Makhani,Main Course,2,462.0,220,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Butter Chicken,Main Course,1,336.0,320,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Dal Makhani,Main Course,1,231.0,220,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Samosa (2pc),Starters,1,50.4,60,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Mutton Biryani,Biryani,2,714.0,340,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Paneer Butter Masala,Main Course,1,205.8,280,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Dal Makhani,Main Course,1,231.0,220,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Butter Naan,Breads,2,94.5,45,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Samosa (2pc),Starters,2,126.0,60,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Tandoori Roti,Breads,2,63.0,30,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Veg Biryani,Biryani,3,529.2,210,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Butter Chicken,Main Course,1,235.2,320,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Paneer Tikka,Starters,1,273.0,260,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Seekh Kebab,Starters,2,588.0,280,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Samosa (2pc),Starters,2,126.0,60,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Veg Biryani,Biryani,1,220.5,210,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Chicken Biryani,Biryani,2,546.0,260,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Mango Lassi,Beverages,2,151.2,90,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Paneer Butter Masala,Main Course,1,294.0,280,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Paneer Tikka,Starters,2,546.0,260,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Dal Makhani,Main Course,1,231.0,220,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Chicken 65,Starters,1,252.0,240,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Chicken Biryani,Biryani,3,655.2,260,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Chicken Biryani,Biryani,1,273.0,260,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Sweet Lassi,Beverages,1,84.0,80,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Masala Chai,Beverages,2,84.0,40,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Samosa (2pc),Starters,1,50.4,60,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Papad,Sides,2,63.0,30,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Seekh Kebab,Starters,1,294.0,280,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Paneer Butter Masala,Main Course,2,588.0,280,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Chicken 65,Starters,1,252.0,240,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Butter Chicken,Main Course,1,336.0,320,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Papad,Sides,1,25.2,30,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Tandoori Roti,Breads,2,50.4,30,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Butter Naan,Breads,2,94.5,45,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Paneer Butter Masala,Main Course,2,588.0,280,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Coke,Beverages,2,126.0,60,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Tandoori Roti,Breads,2,63.0,30,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Paneer Tikka,Starters,1,273.0,260,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Paneer Butter Masala,Main Course,1,294.0,280,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Dal Makhani,Main Course,1,231.0,220,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Chicken 65,Starters,1,252.0,240,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Coke,Beverages,1,63.0,60,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Mutton Biryani,Biryani,1,357.0,340,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Veg Biryani,Biryani,2,352.8,210,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Veg Biryani,Biryani,1,176.4,210,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Mutton Biryani,Biryani,1,357.0,340,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Chicken Biryani,Biryani,3,819.0,260,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Paneer Tikka,Starters,2,546.0,260,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Butter Chicken,Main Course,3,806.4,320,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Butter Naan,Breads,2,94.5,45,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Garlic Naan,Breads,1,57.75,55,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Garlic Naan,Breads,1,57.75,55,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Papad,Sides,2,56.7,30,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Sweet Lassi,Beverages,2,168.0,80,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Garlic Naan,Breads,1,46.2,55,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Chicken 65,Starters,1,252.0,240,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Butter Naan,Breads,1,47.25,45,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Butter Naan,Breads,2,94.5,45,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Dal Makhani,Main Course,1,161.7,220,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Gulab Jamun (2pc),Desserts,1,75.6,90,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Chicken Biryani,Biryani,1,273.0,260,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Butter Naan,Breads,1,47.25,45,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Mutton Biryani,Biryani,1,357.0,340,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Samosa (2pc),Starters,1,63.0,60,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Samosa (2pc),Starters,2,126.0,60,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Samosa (2pc),Starters,1,44.1,60,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Dal Makhani,Main Course,1,231.0,220,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Chicken Biryani,Biryani,2,382.2,260,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Gulab Jamun (2pc),Desserts,2,189.0,90,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Tandoori Roti,Breads,1,31.5,30,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Garlic Naan,Breads,2,115.5,55,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Coke,Beverages,2,126.0,60,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Dal Makhani,Main Course,1,231.0,220,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Paneer Butter Masala,Main Course,2,588.0,280,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Garlic Naan,Breads,1,57.75,55,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Butter Chicken,Main Course,1,336.0,320,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Coke,Beverages,1,63.0,60,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Paneer Tikka,Starters,1,273.0,260,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Paneer Butter Masala,Main Course,2,470.4,280,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Gulab Jamun (2pc),Desserts,1,94.5,90,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Mutton Biryani,Biryani,1,357.0,340,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Masala Chai,Beverages,1,42.0,40,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Butter Chicken,Main Course,2,672.0,320,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Rasmalai (2pc),Desserts,2,231.0,110,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Tandoori Roti,Breads,1,31.5,30,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Chicken Biryani,Biryani,2,546.0,260,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Masala Chai,Beverages,2,84.0,40,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Gulab Jamun (2pc),Desserts,1,94.5,90,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Sweet Lassi,Beverages,2,117.6,80,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Samosa (2pc),Starters,3,189.0,60,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Butter Naan,Breads,1,47.25,45,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Chicken 65,Starters,1,252.0,240,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Coke,Beverages,1,63.0,60,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-03,Garlic Naan,Breads,1,57.75,55,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-04,Coke,Beverages,1,63.0,60,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-04,Paneer Butter Masala,Main Course,3,882.0,280,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-04,Tandoori Roti,Breads,1,31.5,30,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-04,Dal Makhani,Main Course,2,462.0,220,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-04,Masala Chai,Beverages,1,42.0,40,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-04,Coke,Beverages,3,189.0,60,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-04,Paneer Butter Masala,Main Course,2,588.0,280,Register,Card,Payment,Spice Route Kitchen,Kolkata
