order_date,product,category,quantity,total_sales,unit_price,channel,payment_mode,event_type,store,city,discount
2026-06-02,Tteokbokki,Sides,3,41.25,12.5,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-02,12pc Korean Fried Wings,Fried Chicken,1,26.29,23.9,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Spicy Pork Bowl,Rice Bowls,2,37.42,18.9,Square Online,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,6pc Boneless Chicken,Fried Chicken,2,31.9,14.5,Square Online,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Bibimbap,Rice Bowls,1,19.25,17.5,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Fries,Sides,1,7.15,6.5,Square Online,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Coke,Beverages,2,6.55,3.5,Square Online,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Kimchi Fried Rice,Rice Bowls,1,17.49,15.9,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Coke,Beverages,1,3.27,3.5,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,18pc Korean Fried Wings,Fried Chicken,1,35.75,32.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,TK Boneless Chicken,Fried Chicken,1,31.35,28.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Bibimbap,Rice Bowls,1,19.25,17.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,TK Boneless Chicken,Fried Chicken,2,62.7,28.5,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Korean Iced Tea,Beverages,2,9.9,4.5,DoorDash Pickup,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,TK Boneless Chicken,Fried Chicken,1,31.35,28.5,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Fries,Sides,1,7.15,6.5,Square Online,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Spicy Pork Bowl,Rice Bowls,1,20.79,18.9,Square Online,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Bulgogi Beef Bowl,Rice Bowls,2,42.9,19.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,TK Boneless Chicken,Fried Chicken,3,84.65,28.5,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,Fries,Sides,1,7.15,6.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,Bulgogi Beef Bowl,Rice Bowls,3,64.35,19.5,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-03,Yangnyeom Chicken,Fried Chicken,1,28.6,26.0,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-03,Kimchi Fried Rice,Rice Bowls,1,17.49,15.9,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,TK Boneless Chicken,Fried Chicken,3,94.05,28.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,Corn Cheese,Sides,1,10.89,9.9,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,12pc Korean Fried Wings,Fried Chicken,2,52.58,23.9,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,Tteokbokki,Sides,1,13.75,12.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,TK Boneless Chicken,Fried Chicken,2,62.7,28.5,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,TK Boneless Chicken,Fried Chicken,2,62.7,28.5,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-03,Coke,Beverages,1,3.85,3.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,TK Boneless Chicken,Fried Chicken,1,31.35,28.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,6pc Boneless Chicken,Fried Chicken,1,15.95,14.5,DoorDash Pickup,Cash,Payment,Main Branch,Hobart,0.0
2026-06-03,Tteokbokki,Sides,1,11.68,12.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,Sprite,Beverages,1,3.85,3.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,12pc Boneless Chicken,Fried Chicken,1,27.39,24.9,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,18pc Korean Fried Wings,Fried Chicken,3,85.8,32.5,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,18pc Korean Fried Wings,Fried Chicken,1,35.75,32.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,Sprite,Beverages,2,7.7,3.5,Square Online,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,Coke,Beverages,1,3.85,3.5,Square Online,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,12pc Boneless Chicken,Fried Chicken,1,27.39,24.9,Square Online,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,12pc Korean Fried Wings,Fried Chicken,1,26.29,23.9,DoorDash Pickup,Cash,Payment,Main Branch,Hobart,0.0
2026-06-03,Tteokbokki,Sides,3,41.25,12.5,Square Online,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,Spicy Pork Bowl,Rice Bowls,1,20.79,18.9,Uber Eats Pickup,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,6pc Boneless Chicken,Fried Chicken,1,12.76,14.5,Uber Eats Pickup,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,Bingsu,Desserts,2,26.18,11.9,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,12pc Korean Fried Wings,Fried Chicken,3,78.87,23.9,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,6pc Boneless Chicken,Fried Chicken,1,15.95,14.5,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-03,TK Boneless Chicken,Fried Chicken,1,31.35,28.5,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-03,Tteokbokki,Sides,2,27.5,12.5,DoorDash Pickup,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,Kimchi Pancake,Sides,3,44.55,13.5,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,Bulgogi Beef Bowl,Rice Bowls,2,42.9,19.5,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,12pc Korean Fried Wings,Fried Chicken,1,22.35,23.9,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,12pc Boneless Chicken,Fried Chicken,1,27.39,24.9,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,Soju (Fri-Sat),Beverages,1,13.2,12.0,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,6pc Boneless Chicken,Fried Chicken,2,31.9,14.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,Korean Iced Tea,Beverages,1,4.95,4.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,Tteokbokki,Sides,3,41.25,12.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,18pc Korean Fried Wings,Fried Chicken,2,71.5,32.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,Coke,Beverages,1,3.85,3.5,DoorDash Pickup,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,12pc Boneless Chicken,Fried Chicken,2,54.78,24.9,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,Tteokbokki,Sides,1,13.75,12.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,12pc Boneless Chicken,Fried Chicken,2,54.78,24.9,Square Online,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,TK Boneless Chicken,Fried Chicken,1,31.35,28.5,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-03,Soju (Fri-Sat),Beverages,1,13.2,12.0,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-03,Bibimbap,Rice Bowls,1,19.25,17.5,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-03,18pc Korean Fried Wings,Fried Chicken,1,35.75,32.5,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,Bulgogi Beef Bowl,Rice Bowls,1,21.45,19.5,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-03,Fries,Sides,1,6.08,6.5,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,Tteokbokki,Sides,1,13.75,12.5,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,Soju (Fri-Sat),Beverages,2,26.4,12.0,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-03,12pc Korean Fried Wings,Fried Chicken,1,26.29,23.9,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-04,12pc Korean Fried Wings,Fried Chicken,2,52.58,23.9,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Coke,Beverages,1,3.85,3.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,TK Boneless Chicken,Fried Chicken,1,26.64,28.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Spicy Pork Bowl,Rice Bowls,1,20.79,18.9,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,12pc Boneless Chicken,Fried Chicken,1,27.39,24.9,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,TK Boneless Chicken,Fried Chicken,1,31.35,28.5,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,12pc Korean Fried Wings,Fried Chicken,3,78.87,23.9,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Yangnyeom Chicken,Fried Chicken,1,28.6,26.0,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,12pc Boneless Chicken,Fried Chicken,1,27.39,24.9,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,18pc Korean Fried Wings,Fried Chicken,1,35.75,32.5,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Tteokbokki,Sides,3,41.25,12.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Sprite,Beverages,1,3.85,3.5,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-04,Corn Cheese,Sides,1,10.89,9.9,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-04,18pc Korean Fried Wings,Fried Chicken,2,71.5,32.5,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-04,6pc Boneless Chicken,Fried Chicken,-1,-15.95,14.5,Uber Eats Pickup,Cash,Refund,Main Branch,Hobart,0.0
2026-06-04,Custom Amount,Uncategorized,-3,-33.0,10.0,Uber Eats Pickup,Cash,Refund,Main Branch,Hobart,0.0
2026-06-04,6pc Boneless Chicken,Fried Chicken,1,15.95,14.5,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Korean Iced Tea,Beverages,1,4.95,4.5,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,12pc Korean Fried Wings,Fried Chicken,1,23.66,23.9,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Yangnyeom Chicken,Fried Chicken,1,28.6,26.0,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Spicy Pork Bowl,Rice Bowls,1,20.79,18.9,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Spicy Pork Bowl,Rice Bowls,-1,-20.79,18.9,Uber Eats Pickup,Cash,Refund,Main Branch,Hobart,0.0
2026-06-04,Fries,Sides,1,7.15,6.5,DoorDash Pickup,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Spicy Pork Bowl,Rice Bowls,2,41.58,18.9,DoorDash Pickup,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Corn Cheese,Sides,2,21.78,9.9,DoorDash Pickup,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,6pc Boneless Chicken,Fried Chicken,3,47.85,14.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Kimchi Pancake,Sides,1,14.85,13.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,TK Boneless Chicken,Fried Chicken,1,31.35,28.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Bingsu,Desserts,1,13.09,11.9,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Korean Iced Tea,Beverages,3,12.63,4.5,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-04,12pc Boneless Chicken,Fried Chicken,1,27.39,24.9,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-04,Kimchi Fried Rice,Rice Bowls,1,17.49,15.9,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-04,Kimchi Fried Rice,Rice Bowls,1,17.49,15.9,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Soju (Fri-Sat),Beverages,2,26.4,12.0,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Bulgogi Beef Bowl,Rice Bowls,1,18.24,19.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Korean Iced Tea,Beverages,2,9.9,4.5,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-04,TK Boneless Chicken,Fried Chicken,1,31.35,28.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Soju (Fri-Sat),Beverages,1,13.2,12.0,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Soju (Fri-Sat),Beverages,1,13.2,12.0,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Bibimbap,Rice Bowls,1,19.25,17.5,Uber Eats Pickup,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,6pc Boneless Chicken,Fried Chicken,1,15.95,14.5,Uber Eats Pickup,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Coke,Beverages,1,3.85,3.5,Uber Eats Pickup,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,Sprite,Beverages,3,11.55,3.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,12pc Boneless Chicken,Fried Chicken,2,54.78,24.9,DoorDash Pickup,Cash,Payment,Main Branch,Hobart,0.0
2026-06-04,Tteokbokki,Sides,1,11.0,12.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-04,6pc Boneless Chicken,Fried Chicken,1,13.56,14.5,DoorDash Pickup,Cash,Payment,Main Branch,Hobart,0.0
2026-06-05,Fries,Sides,1,7.15,6.5,Square Online,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Bibimbap,Rice Bowls,1,19.25,17.5,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-05,12pc Korean Fried Wings,Fried Chicken,1,23.66,23.9,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-05,Coke,Beverages,2,6.55,3.5,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-05,12pc Boneless Chicken,Fried Chicken,1,27.39,24.9,Uber Eats Pickup,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Korean Iced Tea,Beverages,2,9.9,4.5,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Custom Amount,Uncategorized,1,11.0,10.0,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Korean Iced Tea,Beverages,3,14.85,4.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Soju (Fri-Sat),Beverages,1,13.2,12.0,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,12pc Korean Fried Wings,Fried Chicken,3,78.87,23.9,Square Online,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Sprite,Beverages,2,7.7,3.5,Uber Eats Pickup,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Korean Iced Tea,Beverages,1,4.95,4.5,Square Online,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,12pc Korean Fried Wings,Fried Chicken,2,52.58,23.9,DoorDash Pickup,Cash,Payment,Main Branch,Hobart,0.0
2026-06-05,Bibimbap,Rice Bowls,1,19.25,17.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Yangnyeom Chicken,Fried Chicken,3,85.8,26.0,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Spicy Pork Bowl,Rice Bowls,1,20.79,18.9,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Custom Amount,Uncategorized,2,22.0,10.0,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Tteokbokki,Sides,1,13.75,12.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Bibimbap,Rice Bowls,1,15.4,17.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Yangnyeom Chicken,Fried Chicken,2,57.2,26.0,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-05,Spicy Pork Bowl,Rice Bowls,1,20.79,18.9,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Yangnyeom Chicken,Fried Chicken,1,28.6,26.0,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,6pc Boneless Chicken,Fried Chicken,1,15.95,14.5,DoorDash Pickup,Cash,Payment,Main Branch,Hobart,0.0
2026-06-05,18pc Korean Fried Wings,Fried Chicken,2,71.5,32.5,DoorDash Pickup,Cash,Payment,Main Branch,Hobart,0.0
2026-06-05,Corn Cheese,Sides,1,10.89,9.9,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Fries,Sides,3,18.24,6.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,12pc Boneless Chicken,Fried Chicken,1,27.39,24.9,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Soju (Fri-Sat),Beverages,2,26.4,12.0,DoorDash Pickup,Cash,Payment,Main Branch,Hobart,0.0
2026-06-05,Tteokbokki,Sides,1,13.75,12.5,DoorDash Pickup,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Corn Cheese,Sides,2,21.78,9.9,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,12pc Korean Fried Wings,Fried Chicken,1,26.29,23.9,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Yangnyeom Chicken,Fried Chicken,1,24.31,26.0,DoorDash Pickup,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Coke,Beverages,1,3.85,3.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Fries,Sides,1,6.08,6.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Corn Cheese,Sides,1,10.89,9.9,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Yangnyeom Chicken,Fried Chicken,1,28.6,26.0,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Yangnyeom Chicken,Fried Chicken,1,25.74,26.0,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,12pc Korean Fried Wings,Fried Chicken,1,26.29,23.9,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Spicy Pork Bowl,Rice Bowls,1,20.79,18.9,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-05,TK Boneless Chicken,Fried Chicken,1,31.35,28.5,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-05,Sprite,Beverages,3,11.55,3.5,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-05,TK Boneless Chicken,Fried Chicken,2,62.7,28.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Bingsu,Desserts,1,13.09,11.9,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Bibimbap,Rice Bowls,3,57.75,17.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,6pc Boneless Chicken,Fried Chicken,1,15.95,14.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Korean Iced Tea,Beverages,2,9.9,4.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Bulgogi Beef Bowl,Rice Bowls,2,42.9,19.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Bulgogi Beef Bowl,Rice Bowls,1,21.45,19.5,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-05,Yangnyeom Chicken,Fried Chicken,1,28.6,26.0,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,6pc Boneless Chicken,Fried Chicken,1,15.95,14.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Yangnyeom Chicken,Fried Chicken,1,28.6,26.0,DoorDash Pickup,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Sprite,Beverages,1,3.85,3.5,DoorDash Pickup,Cash,Payment,Main Branch,Hobart,0.0
2026-06-05,12pc Boneless Chicken,Fried Chicken,1,27.39,24.9,DoorDash Pickup,Cash,Payment,Main Branch,Hobart,0.0
2026-06-05,Coke,Beverages,2,7.7,3.5,Uber Eats Pickup,Cash,Payment,Main Branch,Hobart,0.0
2026-06-05,Coke,Beverages,1,3.85,3.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-05,Fries,Sides,2,14.3,6.5,DoorDash Pickup,Card,Payment,Main Branch,Hobart,0.0
2026-06-06,Bibimbap,Rice Bowls,2,38.5,17.5,DoorDash Pickup,Cash,Payment,Main Branch,Hobart,0.0
2026-06-06,Tteokbokki,Sides,3,41.25,12.5,DoorDash Pickup,Cash,Payment,Main Branch,Hobart,0.0
2026-06-06,6pc Boneless Chicken,Fried Chicken,1,12.76,14.5,DoorDash Pickup,Cash,Payment,Main Branch,Hobart,0.0
2026-06-06,TK Boneless Chicken,Fried Chicken,3,94.05,28.5,DoorDash Pickup,Cash,Payment,Main Branch,Hobart,0.0
2026-06-06,6pc Boneless Chicken,Fried Chicken,2,31.9,14.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-06,TK Boneless Chicken,Fried Chicken,1,31.35,28.5,Register,Card,Payment,Main Branch,Hobart,0.0
